index,交易时间,来源,收/支,支付状态,类型,交易对方,商品,金额,支付方式
0,2024-07-31 08:44:57,微信,支出,已转账,扫二维码付款,耿家大饼,收款方备注:二维码收款,10.0,零钱
1,2024-07-31 08:37:53,微信,支出,已转账,扫二维码付款,武华兴丨运河店,收款方备注:二维码收款,6.0,零钱
2,2024-07-31 08:33:43,微信,支出,已转账,扫二维码付款,零售水果玉米,收款方备注:二维码收款,11.5,零钱
3,2024-07-29 22:00:26,微信,支出,支付成功,商户消费,中国石化河北石油分公司,加油付款_沧州运河南北大街加油站,57.69,零钱
4,2024-07-29 21:42:55,微信,支出,支付成功,商户消费,绵绵冰品,/,8.0,零钱
5,2024-07-29 21:41:11,微信,支出,已转账,扫二维码付款,超级马丽炸串,收款方备注:二维码收款,14.0,零钱
6,2024-07-28 18:12:19,微信,支出,支付成功,商户消费,美团平台商户,美团订单-24072811100400001306485404139449,134.8,零钱
57,2024-07-27 22:37:17,支付宝,支出,交易成功,商户消费,成都所见所得科技有限公司,百香果果啤1份,28.8,余额宝
7,2024-07-27 22:02:45,微信,支出,已转账,扫二维码付款,k,收款方备注:二维码收款,8.0,零钱
8,2024-07-27 22:01:24,微信,支出,已转账,扫二维码付款,🌾🌾金玉满唐🌾🌾,收款方备注:二维码收款,28.0,零钱
58,2024-07-27 15:25:48,支付宝,支出,交易成功,商户消费,抖音电商商家,抖音电商-订单编号6932599652990130042,99.0,余额宝
9,2024-07-27 11:45:50,微信,支出,支付成功,商户消费,美团平台商户,美团订单-24072711100400001306227973600449,30.0,零钱
10,2024-07-27 07:34:32,微信,收入,已全额退款,美团平台商户-退款,美团平台商户,美团平台商户,11.0,招商银行储蓄卡(7752)
11,2024-07-26 18:34:15,微信,收入,已存入零钱,转账,孔令劼数产,转账备注:微信转账,20.0,零钱
12,2024-07-26 18:33:58,微信,支出,支付成功,商户消费,美团平台商户,美团订单-24072611100400001306124782743449,38.9,零钱
13,2024-07-26 18:29:29,微信,收入,已全额退款,美团平台商户-退款,美团平台商户,美团平台商户,38.9,零钱
14,2024-07-26 18:16:15,微信,支出,已全额退款,商户消费,美团平台商户,美团订单-24072611100400001306119536099449,38.9,零钱
15,2024-07-26 14:09:00,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,18.0,零钱
16,2024-07-26 10:04:09,微信,支出,对方已收钱,转账,电子烟2023A源桃子💖悦刻,转账备注:微信转账,325.0,零钱
17,2024-07-25 22:29:02,微信,支出,支付成功,商户消费,沧州梦田餐饮管理有限公司,用户手机支付,582.0,零钱
18,2024-07-25 13:14:32,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,28.0,零钱
19,2024-07-25 13:14:26,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,28.0,零钱
64,2024-07-25 00:00:00,银行卡账单,收入,交易成功,类型,本人,工资,7753.9,民生银行储蓄卡(4827)
20,2024-07-24 18:16:41,微信,收入,已全额退款,微信红包-退款,/,/,8.0,零钱
21,2024-07-23 21:19:36,微信,支出,已转账,扫二维码付款,南湖小卖店,收款方备注:二维码收款,5.0,零钱
22,2024-07-23 18:16:38,微信,支出,已全额退款,微信红包（单发）,发给杨学武数产,/,8.0,零钱
68,2024-07-23 00:00:00,银行卡账单,支出,交易成功,类型,本人,银行卡还款,170.32,民生银行储蓄卡(4827)
23,2024-07-22 10:12:00,微信,收入,已存入零钱,转账,刘振棚沧州建投工会,转账备注:微信转账,1915.0,零钱
24,2024-07-21 20:11:23,微信,支出,已转账,扫二维码付款,南湖小卖店,收款方备注:二维码收款,25.0,民生银行储蓄卡(4827)
25,2024-07-21 19:33:46,微信,支出,已转账,扫二维码付款,南湖小卖店,收款方备注:二维码收款,31.0,民生银行储蓄卡(4827)
26,2024-07-20 15:25:52,微信,支出,支付成功,商户消费,美团平台商户,美团订单-24072011100400001305018968704449,30.0,民生银行储蓄卡(4827)
27,2024-07-18 10:57:48,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,3.9,零钱
69,2024-07-18 00:00:00,银行卡账单,支出,交易成功,类型,本人,借款单还款,12481.0,民生银行储蓄卡(4827)
28,2024-07-17 13:06:13,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,29.39,民生银行储蓄卡(4827)
29,2024-07-16 11:24:29,微信,支出,已转账,扫二维码付款,叶记油条,收款方备注:二维码收款,21.0,零钱
30,2024-07-16 09:18:53,微信,支出,对方已收钱,转账,韩冰数产,转账备注:微信转账,540.0,民生银行储蓄卡(4827)
65,2024-07-16 00:00:00,银行卡账单,收入,交易成功,类型,本人,他人汇款,2455.0,民生银行储蓄卡(4827)
31,2024-07-14 19:08:31,微信,收入,已退款￥30.00,哈啰出行-退款,哈啰出行,哈啰出行,30.0,零钱
32,2024-07-14 19:07:59,微信,支出,已退款(￥30.00),商户消费,哈啰出行,哈啰助力车骑行,33.0,零钱
33,2024-07-13 12:36:00,微信,支出,支付成功,商户消费,美团平台商户,美团订单-24071311100400001303753486049449,30.0,零钱
34,2024-07-11 21:55:54,微信,支出,支付成功,商户消费,沧州公共交通集团有限公司第一加油站,立码收收款,76.0,民生银行储蓄卡(4827)
59,2024-07-11 10:45:44,支付宝,收入,交易成功,商户消费,浙江阿里巴巴闲鱼网络科技有限公司,现金赔付,50.0,余额宝
35,2024-07-10 17:25:48,微信,支出,支付成功,商户消费,哈啰出行,哈啰助力车骑行,2.0,零钱
36,2024-07-08 08:49:27,微信,支出,已转账,扫二维码付款,武华兴丨运河店,收款方备注:二维码收款,12.0,零钱
37,2024-07-07 13:37:12,微信,支出,支付成功,商户消费,冥想星球,冥想星球-活动年卡-五周年周年庆活动,48.0,零钱
38,2024-07-07 10:52:36,微信,支出,支付成功,商户消费,美团平台商户,美团订单-24070711100400001302641238785449,31.4,民生银行储蓄卡(4827)
39,2024-07-06 14:59:28,微信,支出,支付成功,商户消费,上海新上铁实业发展集团有限公司,自贩机消费:雀巢丝滑拿铁268ml;,9.0,民生银行储蓄卡(4827)
40,2024-07-06 14:58:56,微信,支出,支付成功,商户消费,上海新上铁实业发展集团有限公司,自贩机消费:雀巢丝滑拿铁268ml;,9.0,民生银行储蓄卡(4827)
41,2024-07-06 09:10:15,微信,收入,已退款￥1080.00,中铁网络-退款,中铁网络,中铁网络,1080.0,民生银行储蓄卡(4827)
42,2024-07-06 09:09:11,微信,支出,支付成功,商户消费,中铁网络,12306消费,1600.0,民生银行储蓄卡(4827)
43,2024-07-05 22:19:32,微信,支出,支付成功,商户消费,新锦江大酒店,新锦江大酒店,900.0,民生银行储蓄卡(4827)
44,2024-07-05 22:17:24,微信,支出,支付成功,商户消费,新锦江大酒店,新锦江大酒店,900.0,民生银行储蓄卡(4827)
45,2024-07-05 22:15:44,微信,支出,支付成功,商户消费,新锦江大酒店,新锦江大酒店,900.0,民生银行储蓄卡(4827)
46,2024-07-05 12:22:13,微信,支出,已退款(￥1080.00),商户消费,中铁网络,12306消费,1620.0,民生银行储蓄卡(4827)
47,2024-07-04 16:18:25,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,15.56,零钱
70,2024-07-04 00:00:00,银行卡账单,支出,交易成功,类型,本人,信用卡还款视频会员,36.35,民生银行储蓄卡(4827)
48,2024-07-03 21:21:03,微信,支出,对方已收钱,转账,广厦快递驿站,转账备注:微信转账,8.0,民生银行储蓄卡(4827)
60,2024-07-03 12:14:32,支付宝,收入,交易成功,商户消费,**明,收钱码收款,100.0,余额宝
61,2024-07-03 12:13:11,支付宝,支出,交易成功,商户消费,沧州市运河区荣含家用电器经销处,沧州市运河区荣含家用电器经销处,100.0,华夏银行信用卡(1483)
49,2024-07-03 12:08:04,微信,收入,已存入零钱,转账,光大银行郭秋松18733777570,转账备注:微信转账,121.0,零钱
62,2024-07-03 12:06:29,支付宝,支出,交易成功,商户消费,任丘市雅赞母婴棉纱家居,收款,120.32,光大银行信用卡(5851)
50,2024-07-03 12:03:53,微信,支出,支付成功,商户消费,北京联通,中国联通交费充值,50.0,光大银行信用卡(5851)
51,2024-07-03 09:11:09,微信,支出,支付成功,商户消费,中铁网络,12306消费,1617.0,民生银行储蓄卡(4827)
52,2024-07-03 08:30:45,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,16.9,零钱
53,2024-07-03 08:09:21,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,44.8,民生银行储蓄卡(4827)
66,2024-07-03 00:00:00,银行卡账单,收入,交易成功,类型,本人,差旅费-借款,15000.0,民生银行储蓄卡(4827)
54,2024-07-02 17:09:54,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,17.9,零钱
63,2024-07-02 09:28:28,支付宝,支出,交易成功,商户消费,t***7,闲鱼转账,13.0,余额宝
55,2024-07-01 17:16:47,微信,支出,已转账,扫二维码付款,棉花糖便利店丨运河店,收款方备注:二维码收款,16.0,民生银行储蓄卡(4827)
56,2024-07-01 11:08:06,微信,支出,支付成功,商户消费,拼多多平台商户,先用后付,42.38,零钱
67,2024-07-01 00:00:00,银行卡账单,收入,交易成功,类型,本人,工资,7102.2,民生银行储蓄卡(4827)
