交易时间,来源,收/支,支付状态,类型,category,交易对方,商品,是否冲账,金额,支付方式,amount
2024-07-31 08:44:57,微信,支出,已转账,扫二维码付款,餐饮,耿家大饼,收款方备注:二维码收款,0,10.0,零钱,-10.0
2024-07-31 08:37:53,微信,支出,已转账,扫二维码付款,餐饮,武华兴丨运河店,收款方备注:二维码收款,0,6.0,零钱,-6.0
2024-07-31 08:33:43,微信,支出,已转账,扫二维码付款,餐饮,零售水果玉米,收款方备注:二维码收款,0,11.5,零钱,-11.5
2024-07-29 22:00:26,微信,支出,支付成功,商户消费,交通,中国石化河北石油分公司,加油付款_沧州运河南北大街加油站,0,57.69,零钱,-57.69
2024-07-29 21:42:55,微信,支出,支付成功,商户消费,餐饮,绵绵冰品,/,0,8.0,零钱,-8.0
2024-07-29 21:41:11,微信,支出,已转账,扫二维码付款,餐饮,超级马丽炸串,收款方备注:二维码收款,0,14.0,零钱,-14.0
2024-07-28 18:12:19,微信,支出,支付成功,商户消费,购物,美团平台商户,美团订单-24072811100400001306485404139449,0,134.8,零钱,-134.8
2024-07-27 22:37:17,支付宝,支出,交易成功,商户消费,餐饮,成都所见所得科技有限公司,百香果果啤1份,0,28.8,余额宝,-28.8
2024-07-27 22:02:45,微信,支出,已转账,扫二维码付款,餐饮,k,收款方备注:二维码收款,0,8.0,零钱,-8.0
2024-07-27 22:01:24,微信,支出,已转账,扫二维码付款,餐饮,🌾🌾金玉满唐🌾🌾,收款方备注:二维码收款,0,28.0,零钱,-28.0
2024-07-27 15:25:48,支付宝,支出,交易成功,商户消费,购物,抖音电商商家,抖音电商-订单编号6932599652990130042,0,99.0,余额宝,-99.0
2024-07-27 11:45:50,微信,支出,支付成功,商户消费,购物,美团平台商户,美团订单-24072711100400001306227973600449,0,30.0,零钱,-30.0
2024-07-27 07:34:32,微信,收入,已全额退款,美团平台商户-退款,购物,美团平台商户,美团平台商户,0,11.0,招商银行储蓄卡(7752),11.0
2024-07-26 18:34:15,微信,收入,已存入零钱,转账,餐饮,孔令劼数产,转账备注:微信转账,1,20.0,零钱,0.0
2024-07-26 18:33:58,微信,支出,支付成功,商户消费,购物,美团平台商户,美团订单-24072611100400001306124782743449,1,38.9,零钱,-126.21999999999935
2024-07-26 18:29:29,微信,不计收支,已全额退款,美团平台商户-退款,购物,美团平台商户,美团平台商户,0,38.9,零钱,0.0
2024-07-26 18:16:15,微信,不计收支,已全额退款,商户消费,购物,美团平台商户,美团订单-24072611100400001306119536099449,0,38.9,零钱,0.0
2024-07-26 14:09:00,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,18.0,零钱,-18.0
2024-07-26 10:04:09,微信,支出,对方已收钱,转账,购物_电子烟,电子烟2023A源桃子💖悦刻,转账备注:微信转账,0,325.0,零钱,-325.0
2024-07-25 22:29:02,微信,支出,支付成功,商户消费,休闲娱乐,沧州梦田餐饮管理有限公司,用户手机支付,0,582.0,零钱,-582.0
2024-07-25 13:14:32,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,28.0,零钱,-28.0
2024-07-25 13:14:26,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,28.0,零钱,-28.0
2024-07-25 00:00:00,银行卡账单,收入,交易成功,类型,工资,本人,工资,0,7753.9,民生银行储蓄卡(4827),7753.9
2024-07-24 18:16:41,微信,不计收支,已全额退款,微信红包-退款,餐饮,/,/,0,8.0,零钱,0.0
2024-07-23 21:19:36,微信,支出,已转账,扫二维码付款,餐饮,南湖小卖店,收款方备注:二维码收款,0,5.0,零钱,-5.0
2024-07-23 18:16:38,微信,不计收支,已全额退款,微信红包（单发）,餐饮,发给杨学武数产,/,0,8.0,零钱,0.0
2024-07-23 00:00:00,银行卡账单,支出,交易成功,类型,餐饮,本人,银行卡还款,0,170.32,民生银行储蓄卡(4827),-170.32
2024-07-22 10:12:00,微信,收入,已存入零钱,转账,餐饮,刘振棚沧州建投工会,转账备注:微信转账,1,1915.0,零钱,0.0
2024-07-21 20:11:23,微信,支出,已转账,扫二维码付款,餐饮,南湖小卖店,收款方备注:二维码收款,0,25.0,民生银行储蓄卡(4827),-25.0
2024-07-21 19:33:46,微信,支出,已转账,扫二维码付款,餐饮,南湖小卖店,收款方备注:二维码收款,0,31.0,民生银行储蓄卡(4827),-31.0
2024-07-20 15:25:52,微信,支出,支付成功,商户消费,购物,美团平台商户,美团订单-24072011100400001305018968704449,0,30.0,民生银行储蓄卡(4827),-30.0
2024-07-18 10:57:48,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,3.9,零钱,-3.9
